Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/analytics/dashboard,17,0,5,99.41329252940116,4.644052000003285,436.1007620000237,42.0,0.5859757769691525,0.0,5,5,92,300,440,440,440,440,440,440,440
POST,/api/v1/auth/login,8,8,4,13.39134524997121,3.148694999936197,73.60782499995366,364.5,0.27575330680901294,0.27575330680901294,5,5,11,11,74,74,74,74,74,74,74
GET,/api/v1/courses?skip=0&limit=1000,11,0,6.156835999945542,6.397742090898233,6.156835999945542,7.355079000035403,71.0,0.3791607968623928,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/api/v1/export/students/excel,2,0,18.300984000006792,20.14772699999412,18.300984000006792,21.994469999981447,5044.5,0.06893832670225324,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,/api/v1/students,1,1,4.589400999975624,4.589400999975624,4.589400999975624,4.589400999975624,640.0,0.03446916335112662,0.03446916335112662,5,5,5,5,5,5,5,5,5,5,5
GET,/api/v1/students/search?q=Miller,1,1,2.645200000188197,2.645200000188197,2.645200000188197,2.645200000188197,477.0,0.03446916335112662,0.03446916335112662,3,3,3,3,3,3,3,3,3,3,3
GET,/api/v1/students/search?q=moorerachel@example.org,1,1,2.5284110001848603,2.5284110001848603,2.5284110001848603,2.5284110001848603,494.0,0.03446916335112662,0.03446916335112662,3,3,3,3,3,3,3,3,3,3,3
GET,/api/v1/students?skip=0&limit=1000,17,0,6,62.06016394118224,5.94551400013188,467.1323879999818,71.0,0.5859757769691525,0.0,6,7,7,8,260,470,470,470,470,470,470
GET,/api/v1/students?skip=115&limit=10,1,0,5.995858000005683,5.995858000005683,5.995858000005683,5.995858000005683,72.0,0.03446916335112662,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=225&limit=21,1,0,6.5838520001761935,6.5838520001761935,6.5838520001761935,6.5838520001761935,72.0,0.03446916335112662,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/students?skip=433&limit=33,1,0,6.267818999958763,6.267818999958763,6.267818999958763,6.267818999958763,72.0,0.03446916335112662,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=447&limit=47,1,0,6.257670999957554,6.257670999957554,6.257670999957554,6.257670999957554,72.0,0.03446916335112662,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=524&limit=46,1,0,6.631236000202989,6.631236000202989,6.631236000202989,6.631236000202989,72.0,0.03446916335112662,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/students?skip=57&limit=19,1,0,6.694028000083563,6.694028000083563,6.694028000083563,6.694028000083563,70.0,0.03446916335112662,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/students?skip=615&limit=41,1,0,6.300751000026139,6.300751000026139,6.300751000026139,6.300751000026139,72.0,0.03446916335112662,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=950&limit=38,1,0,6.56744200000503,6.56744200000503,6.56744200000503,6.56744200000503,72.0,0.03446916335112662,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/health,4,0,570.0,572.411590999991,564.7905040000296,577.0284779998747,1249.5,0.13787665340450647,0.0,570,570,580,580,580,580,580,580,580,580,580
,Aggregated,70,11,6,75.90797388571835,2.5284110001848603,577.0284779998747,327.0,2.4128414345788634,0.3791607968623928,6,7,7,22,440,560,570,580,580,580,580
