Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/analytics/dashboard,7,0,5,70.88049514285493,4.152648000058434,466.1108320000267,42.0,0.2435950281177213,0.0,5,5,6,6,470,470,470,470,470,470,470
POST,/api/v1/auth/login,6,6,5,5.369591166678826,3.140970999993442,11.327746999995725,350.6666666666667,0.20879573838661825,0.20879573838661825,5,5,5,5,11,11,11,11,11,11,11
GET,/api/v1/courses?skip=0&limit=1000,20,0,6,59.993478550006785,4.804076000027635,496.63957999996455,71.0,0.6959857946220609,0.0,6,6,9,130,350,500,500,500,500,500,500
GET,/api/v1/export/students/excel,7,0,18,55.02698071427403,16.768877999993492,185.25918699992872,5045.571428571428,0.2435950281177213,0.0,18,23,110,110,190,190,190,190,190,190,190
GET,/api/v1/students/search?q=Bruce,1,1,2.1409940000012284,2.1409940000012284,2.1409940000012284,2.1409940000012284,476.0,0.03479928973110304,0.03479928973110304,2,2,2,2,2,2,2,2,2,2,2
GET,/api/v1/students/search?q=Cisneros,1,1,2.58646999998291,2.58646999998291,2.58646999998291,2.58646999998291,479.0,0.03479928973110304,0.03479928973110304,3,3,3,3,3,3,3,3,3,3,3
GET,/api/v1/students/search?q=Jillian,1,1,2.5585149999187706,2.5585149999187706,2.5585149999187706,2.5585149999187706,478.0,0.03479928973110304,0.03479928973110304,3,3,3,3,3,3,3,3,3,3,3
GET,/api/v1/students/search?q=student54,1,1,2.648295999961192,2.648295999961192,2.648295999961192,2.648295999961192,480.0,0.03479928973110304,0.03479928973110304,3,3,3,3,3,3,3,3,3,3,3
GET,/api/v1/students?skip=0&limit=1000,15,0,6,17.311861533327527,4.840140999931464,168.97613899993758,71.0,0.5219893459665457,0.0,6,6,7,7,12,170,170,170,170,170,170
GET,/api/v1/students?skip=335&limit=41,1,0,6.46595000000616,6.46595000000616,6.46595000000616,6.46595000000616,71.0,0.03479928973110304,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=453&limit=47,1,0,4.450996000059604,4.450996000059604,4.450996000059604,4.450996000059604,72.0,0.03479928973110304,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/v1/students?skip=567&limit=44,1,0,5.998470999998062,5.998470999998062,5.998470999998062,5.998470999998062,72.0,0.03479928973110304,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/v1/students?skip=756&limit=26,1,0,5.006087000083426,5.006087000083426,5.006087000083426,5.006087000083426,72.0,0.03479928973110304,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/health,6,0,540.0,546.9387190000058,539.4406169999684,560.4988560000947,1249.8333333333333,0.20879573838661825,0.0,550,550,550,550,560,560,560,560,560,560,560
,Aggregated,69,10,6,82.41457195652276,2.1409940000012284,560.4988560000947,723.2028985507246,2.40115099144611,0.34799289731103045,6,7,17,110,500,540,550,560,560,560,560
